42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,12,13,20,X,16,15,X,12,12,X,X,X,X,25,27,25,X,X,X,X,X,X,X,X,X,X,8,8,15,15,15,21,X,8,5,1,3,12,2,20,X
X,12,20,20,X,16,9,X,12,12,X,X,X,X,25,25,25,X,X,X,X,X,X,X,X,X,X,12,12,15,15,15,21,X,8,5,1,3,12,2,16,X
X,16,16,16,16,16,6,X,12,12,12,12,12,12,14,15,15,X,X,X,X,X,X,X,X,X,X,16,12,20,20,15,15,X,3,5,1,1,12,2,12,X
X,12,X,X,X,X,X,X,5,5,5,5,5,2,2,2,2,4,4,4,8,8,8,12,12,12,12,16,20,25,25,10,15,X,3,8,1,1,17,7,8,X
X,4,12,16,12,8,2,2,2,2,2,2,7,7,7,7,7,7,12,12,12,12,12,12,18,18,22,22,22,22,22,22,15,X,3,8,1,1,21,7,8,X
X,4,12,16,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,22,22,26,26,26,26,26,26,22,22,22,15,15,15,15,1,1,21,7,4,X
X,4,12,16,31,28,28,25,25,23,23,21,17,17,13,13,13,X,X,X,X,22,22,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,21,7,4,X
X,4,4,6,6,9,9,12,12,12,15,15,15,15,15,13,13,13,X,X,X,20,20,30,30,30,30,36,36,36,36,25,25,25,20,20,21,21,21,12,4,X
X,X,X,X,X,X,X,X,X,X,15,18,18,23,X,8,8,12,16,X,X,20,24,24,24,24,32,32,32,32,32,16,16,16,16,16,16,16,16,12,4,X
X,2,1,0,8,12,12,12,12,12,12,12,21,23,X,4,4,4,16,20,X,26,26,26,26,25,25,25,25,25,25,16,16,16,16,12,12,12,12,12,4,X
X,2,1,0,0,4,12,20,20,20,20,20,23,23,X,2,2,2,16,25,25,25,25,25,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,4,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
